rank,building_id,meter,site_id,primary_use,square_feet,anomaly_rate,anomaly_hours,total_hours,max_streak,mean_anomaly_score,max_anomaly_score,total_excess,excess_per_sqft,priority_score
72,801,1,7,Education,484376.0,0.094712645,206,2175,9,-0.28558385,45.59297180175781,26119.852,0.053924743,0.0608351623343405
73,1348,2,15,Education,131271.0,0.05694649,116,2037,24,-0.1759131,14.101444244384766,112487.91,0.8569136,0.05971023208775062
74,621,0,4,Parking,387.0,0.0063405796,14,2208,2,-0.100847386,5.347039699554443,940.1761,2.4293957,0.05949945189530744
75,738,0,5,Education,95433.0,0.09020852,199,2206,13,0.08466764,10.572802543640137,1013.20184,0.010616892,0.05793916402968616
76,183,3,2,Education,132518.0,0.084848486,70,825,10,-0.32932237,7.754112243652344,193.06076,0.0014568644,0.05741346803872635
77,9,1,0,Office,27000.0,0.0731383,110,1504,10,-0.2430868,42.1522216796875,10397.305,0.38508534,0.056416074549732624
78,1347,1,15,Education,322341.0,0.086565755,183,2114,11,-0.2380393,17.539289474487305,3855.8647,0.011962067,0.05542622397572073
79,284,3,2,Entertainment/public assembly,230259.0,0.087015636,128,1471,7,-0.08200012,22.216840744018555,1417.9023,0.0061578583,0.055357851893460444
80,794,3,7,Education,731945.0,0.06939916,149,2147,17,0.13801368,41.741943359375,186926.11,0.25538272,0.051792463324555234
81,1333,1,15,Office,31316.0,0.06717124,142,2114,41,-0.24645168,9.316627502441406,1372.1531,0.043816358,0.05105518480653862
82,664,0,5,Entertainment/public assembly,49492.0,0.07524932,166,2206,15,-0.2772876,10.73984146118164,2272.9243,0.045925085,0.050064445599148716
83,1339,1,15,Education,140488.0,0.07757805,164,2114,10,-0.2885266,9.727794647216797,2533.0952,0.018030688,0.04986951180893885
84,1329,1,15,Technology/science,60100.0,0.075212866,159,2114,10,-0.124732025,13.532585144042969,4291.1523,0.0714002,0.049642690585763705
85,60,1,0,Education,81576.0,0.05382436,114,2118,6,0.042722408,14.421157836914062,55015.586,0.674409,0.04943015509160952
86,28,1,0,Office,52957.0,0.04719207,100,2119,10,0.106057234,10.745058059692383,41239.75,0.7787403,0.04865609133633195
87,14,1,0,Education,86250.0,0.054270882,115,2119,5,-0.121744916,15.713902473449707,52692.992,0.61093324,0.048035586383093985
88,1428,0,15,Education,28432.0,0.0727003,147,2022,6,-0.26642132,10.8475341796875,1194.0217,0.0419957,0.04661129666285662
89,217,1,2,Education,282946.0,0.07201087,159,2208,8,-0.09219639,14.310420036315918,9746.862,0.03444778,0.04633022112638013
90,599,0,4,Education,25996.0,0.06156632,136,2209,21,-0.017864577,7.5749053955078125,4004.0,0.15402369,0.04547216790465558
91,1369,2,15,Entertainment/public assembly,53194.0,0.024054984,49,2037,7,0.053433564,8.58769702911377,67883.37,1.2761471,0.04526990990446789
92,575,0,4,Technology/science,33167.0,0.067904025,150,2209,11,-0.2816073,8.613439559936523,2214.5571,0.0667699,0.04520633596290221
93,43,1,0,Retail,59071.0,0.06625578,129,1947,5,0.036537886,12.883383750915527,8050.18,0.13627973,0.0446423435464597
94,699,0,5,Education,93764.0,0.06890299,152,2206,10,-0.087409824,9.489666938781738,1204.6644,0.012847835,0.044377802530297876
95,31,1,0,Education,61904.0,0.03161869,67,2119,4,0.06819253,8.376032829284668,60012.176,0.9694394,0.0421712913740784
96,55,1,0,Office,16726.0,0.01982067,42,2119,3,0.11339729,9.995828628540039,21659.803,1.294978,0.04216484679791478
97,1434,2,15,Education,33148.0,0.04221895,86,2037,9,-0.055390634,18.552621841430664,19946.451,0.6017392,0.04146396673059398
98,1405,1,15,Lodging/residential,142901.0,0.057534248,63,1095,14,-0.038555402,11.842632293701172,892.32666,0.00624437,0.0412097933544767
99,1414,2,15,Lodging/residential,65663.0,0.03976436,81,2037,3,0.033077836,8.200249671936035,46264.08,0.70456845,0.040913884942672965
100,793,1,7,Education,150695.0,0.059178744,49,828,7,-0.36369482,36.62306594848633,5221.2666,0.034647908,0.04080814050716312
101,800,2,7,Education,64583.0,0.050185874,108,2152,19,0.21571025,16.82738494873047,16155.758,0.25015497,0.040409047637086554
102,663,0,5,Entertainment/public assembly,57189.0,0.058023572,128,2206,17,-0.29708207,9.652153015136719,3233.3896,0.056538664,0.04024882696955265
103,91,1,0,Education,68094.0,0.033994336,72,2118,3,-0.056519944,13.40888786315918,55806.016,0.8195438,0.039987937500894355
104,802,1,7,Education,290625.0,0.062068965,135,2175,7,-0.12119348,51.685970306396484,8607.862,0.029618451,0.03997727814036005
105,1386,1,15,Entertainment/public assembly,82035.0,0.04257332,90,2114,51,0.19773772,7.030059337615967,6284.118,0.07660289,0.039064126211835776
106,187,1,2,Education,44203.0,0.0578061,127,2197,12,-0.26732293,10.60067367553711,2305.7886,0.052163623,0.03895574576225767
107,499,0,3,Education,376507.0,0.05890349,130,2207,13,-0.12523828,41.36647415161133,3580.9707,0.009511033,0.038856962848645815
108,739,0,5,Education,137046.0,0.0593835,131,2206,10,-0.049161978,7.52932596206665,2193.0134,0.016002024,0.03865484163480433
109,15,1,0,Office,83957.0,0.040585183,86,2119,6,-0.099398606,12.453035354614258,45436.684,0.5411899,0.03834305891003683
110,75,1,0,Education,80942.0,0.042472865,90,2119,4,-0.028687362,8.36723804473877,41286.848,0.5100794,0.03833875928114175
111,43,0,0,Retail,59071.0,0.058397464,129,2209,11,-0.13661262,9.019737243652344,994.6378,0.016838005,0.03828478890568808
112,335,0,3,Office,229000.0,0.058450386,129,2207,8,-0.12985374,12.833559036254883,9375.072,0.040939182,0.03822407785306037
113,1444,0,15,Entertainment/public assembly,19619.0,0.05774926,117,2026,9,-0.2382631,8.608489036560059,832.1007,0.042413004,0.038217329311332406
114,190,3,2,Education,137040.0,0.058423914,129,2208,8,0.25626108,7.545809745788574,3129.373,0.022835473,0.03779575299206335
115,236,3,2,Entertainment/public assembly,144086.0,0.05648148,61,1080,7,0.67348534,6.178240776062012,1140.2886,0.007913944,0.037625893432046705
116,1386,2,15,Entertainment/public assembly,82035.0,0.027982326,57,2037,6,0.15111166,8.397133827209473,67477.445,0.8225446,0.03711961850799472
117,685,0,5,Office,270034.0,0.057246707,126,2201,8,-0.21893011,12.534380912780762,4404.5415,0.016311062,0.036936343483980276
118,1367,1,15,Education,33695.0,0.05345317,113,2114,8,-0.037209563,9.752476692199707,2886.5854,0.085668065,0.03627413605269318
119,801,2,7,Education,484376.0,0.051579926,111,2152,8,0.05404487,28.737199783325195,63487.953,0.13107163,0.03613413151096158
120,675,0,5,Manufacturing/industrial,3853.0,0.014505893,32,2206,3,-0.0626594,5.338497161865234,4443.6924,1.1533071,0.03568358830414673
121,13,1,0,Education,99380.0,0.034922134,74,2119,5,-0.00795273,8.127270698547363,57895.312,0.582565,0.035613029387502604
122,1344,1,15,Education,125507.0,0.05156102,109,2114,18,0.08978029,8.587714195251465,1085.998,0.008652888,0.03560899305042255
123,385,0,3,Public services,18432.0,0.04712279,104,2207,22,-0.15557162,10.110301971435547,1172.6287,0.063619174,0.03484396043660312
124,30,1,0,Education,93897.0,0.02595564,55,2119,4,0.03866818,8.958780288696289,74160.84,0.7898106,0.03464179236534118
125,1334,1,15,Office,130794.0,0.05156102,109,2114,14,0.06486811,13.075067520141602,318.21826,0.002432973,0.03457287160625978
126,1409,1,15,Lodging/residential,48881.0,0.051233396,108,2108,12,-0.21494569,8.015397071838379,1296.3735,0.02652101,0.03448113537868169
127,792,2,7,Education,333681.0,0.028505746,62,2175,22,0.24041805,12.017387390136719,177085.6,0.53070325,0.03419602197724349
128,164,0,2,Warehouse/storage,12908.0,0.04639412,101,2177,12,-0.1962501,7.583399295806885,1755.1699,0.13597536,0.03393758834077715
129,222,1,2,Entertainment/public assembly,11935.0,0.046839472,103,2199,5,-0.19021703,18.0557918548584,2250.5562,0.18856776,0.03387252673703472
130,586,0,4,Public services,166514.0,0.049796287,110,2209,13,-0.16558397,11.180700302124023,2775.3176,0.016667172,0.03347339351134984
131,232,3,2,Entertainment/public assembly,24345.0,0.03713768,82,2208,4,0.027522402,7.920166015625,10675.961,0.43852788,0.03342906479491513
132,1330,2,15,Education,173983.0,0.028964164,59,2037,6,0.12752026,7.629069805145264,108820.086,0.6254639,0.033238334471574496
133,44,0,0,Retail,283.0,0.0,0,2209,0,0.19728133,3.2793941497802734,413.54236,1.4612805,0.033209703865561685
134,803,2,7,Education,182986.0,0.046003718,99,2152,8,0.029982148,8.634812355041504,26357.426,0.14404067,0.033034556785769456
135,109,3,1,Education,56995.0,0.0513347,100,1948,3,-0.2613347,9.282147407531738,1719.8445,0.030175358,0.03266217723376787
136,1374,1,15,Office,159662.0,0.047867298,101,2110,15,-0.09238677,6.341848373413086,739.55884,0.004632028,0.03260447902553529
137,226,0,2,Office,74180.0,0.04664855,103,2208,16,-0.08855456,8.905494689941406,2274.5913,0.030663135,0.03251916723879074
138,299,0,3,Education,356000.0,0.05029452,111,2207,6,-0.031989,15.56112289428711,4401.695,0.012364311,0.03218155041313553
139,284,0,2,Entertainment/public assembly,230259.0,0.046195652,102,2208,14,0.15028977,7.623972415924072,7645.617,0.03320442,0.03187289904544655
140,636,0,4,Education,6564.0,0.04759746,105,2206,13,0.5130049,3.797619581222534,11.843121,0.0018042536,0.03180094132738812
141,798,1,7,Education,409028.0,0.04689655,102,2175,8,-0.037622213,23.856658935546875,25691.328,0.06281068,0.03171337921881137
142,171,0,2,Office,131797.0,0.048460145,107,2208,7,-0.3119056,13.400280952453613,3078.572,0.023358438,0.03152838635742679
143,1372,1,15,Education,16289.0,0.044938505,95,2114,9,-0.10536837,7.082153797149658,1488.2947,0.09136808,0.031444375642307225
144,1360,2,15,Entertainment/public assembly,111530.0,0.03927344,80,2037,5,0.10319229,9.324033737182617,28376.42,0.2544286,0.0308492719278083
145,798,0,7,Education,409028.0,0.04367816,95,2175,8,0.020398073,11.250326156616211,43188.316,0.105587676,0.030726468084065737
146,188,1,2,Office,23549.0,0.040935673,21,513,6,-0.33637506,9.728941917419434,263.50198,0.011189519,0.030703202684382567
147,1385,2,15,Education,124521.0,0.025527736,52,2037,6,0.11733579,8.7573881149292,71023.51,0.5703737,0.029894529733154773
148,735,0,5,Education,155807.0,0.045784224,101,2206,7,-0.14542794,7.7396135330200195,2322.3374,0.014905219,0.02970876379505288
149,78,1,0,Education,76257.0,0.025967894,55,2118,7,0.07449936,9.981741905212402,40619.89,0.532671,0.029475610595625104
150,265,0,2,Office,118966.0,0.043025363,95,2208,12,-0.13891608,11.122751235961914,2462.0562,0.020695461,0.029230481460030766
151,652,0,4,Education,150887.0,0.043970987,97,2206,9,-0.09962247,9.387721061706543,2911.564,0.01929632,0.029133542274494877
152,796,0,7,Education,226042.0,0.04275862,93,2175,8,-0.16359873,11.354734420776367,12192.486,0.05393903,0.028992942195163556
153,1381,2,15,Office,84615.0,0.03240059,66,2037,8,-0.029365264,10.69864273071289,24979.504,0.29521367,0.028289014366585454
154,96,1,0,Lodging/residential,200933.0,0.03210576,68,2118,4,-0.011943414,7.737346649169922,69110.12,0.34394607,0.02825296292531592
155,727,0,5,Education,139113.0,0.04351768,96,2206,6,-0.03819089,8.755520820617676,2473.5674,0.017780993,0.02818007957148186
156,1364,0,15,Utility,74922.0,0.040746197,83,2037,12,-0.1534942,7.334014415740967,1642.8594,0.021927597,0.028086869227188484
157,98,1,0,Lodging/residential,200933.0,0.018876828,40,2119,8,0.045638986,6.584109783172607,127908.09,0.6365709,0.027742882847078244
158,724,0,5,Education,88856.0,0.042611063,94,2206,7,-0.032802694,6.196715831756592,1114.3604,0.012541194,0.027723491662994915
159,440,0,3,Public services,35033.0,0.040326234,89,2207,7,-0.17757635,10.04655933380127,2496.2505,0.07125426,0.027666345363968663
160,802,2,7,Education,290625.0,0.039204545,69,1760,4,-0.033181347,12.097372055053711,34466.508,0.11859444,0.027634309731857216
161,726,0,5,Education,120566.0,0.04215775,93,2206,6,0.073751,9.009306907653809,2800.3022,0.023226302,0.027476027848700617
162,633,0,4,Parking,98539.0,0.040742416,90,2209,9,-0.35638425,5.064459800720215,2903.1475,0.029461913,0.02739667305005701
163,793,3,7,Education,150695.0,0.036934443,80,2166,7,-0.031640016,16.425193786621094,22402.129,0.14865874,0.027389234062812313
164,1412,2,15,Lodging/residential,39538.0,0.025527736,52,2037,3,0.05216415,7.213318347930908,19254.736,0.4869932,0.027303146612212476
165,1409,2,15,Lodging/residential,48881.0,0.02749141,56,2037,4,0.09018658,12.955366134643555,20525.613,0.41990983,0.02720604296753042
166,1332,2,15,Education,47398.0,0.03436426,70,2037,7,0.06260461,14.86052417755127,9282.58,0.19584328,0.02699384571899111
167,1427,2,15,Education,180625.0,0.01963672,40,2037,4,0.15780857,7.882934093475342,112048.94,0.6203401,0.026979850786711158
168,657,0,5,Education,109071.0,0.040797826,90,2206,8,-0.028014962,7.730223655700684,1910.8444,0.017519271,0.02694724585262718
169,118,0,1,Education,138316.0,0.040797826,90,2206,6,-0.15493661,18.610010147094727,4685.4106,0.033874683,0.026890221592167102
170,795,3,7,Education,387500.0,0.036144577,78,2158,7,-0.013298859,37.36156463623047,54109.52,0.13963747,0.026709075351627105
171,222,0,2,Entertainment/public assembly,11935.0,0.03759058,83,2208,5,-0.025932824,8.169332504272461,1441.8176,0.12080584,0.02669822821183364
172,800,0,7,Education,64583.0,0.038620688,84,2175,10,-0.1939103,9.06297492980957,2883.1355,0.04464233,0.02669768047853323
173,97,1,0,Lodging/residential,187647.0,0.025529865,53,2076,5,0.008820647,6.938409805297852,79713.11,0.42480353,0.026333581080265248
174,269,0,2,Entertainment/public assembly,809530.0,0.040307973,89,2208,8,-0.103722714,19.97382354736328,2176.324,0.0026883797,0.026310457618260057
175,1366,0,15,Office,87977.0,0.038782522,79,2037,10,-0.19225179,7.774951457977295,1147.972,0.013048547,0.026225470915547323
176,1331,1,15,Education,171008.0,0.03784295,80,2114,13,-0.2576392,7.9377970695495605,1793.5298,0.010487988,0.026181864646517738
177,732,0,5,Education,66187.0,0.03898459,86,2206,9,-0.11593495,6.868406295776367,1178.9504,0.017812418,0.026064528274824424
178,1425,0,15,Utility,4071.0,0.01963672,40,2037,3,0.10669372,6.052236080169678,2385.1528,0.5858887,0.02596474573317545
179,121,0,1,Education,150318.0,0.03807797,84,2206,8,-0.10244598,12.034797668457031,6912.881,0.045988377,0.02593863337431663
180,1431,0,15,Public services,111360.0,0.035837017,73,2037,15,-0.052479386,6.107269763946533,2483.4375,0.022300983,0.025803508882679214
181,336,0,3,Education,43000.0,0.038060717,84,2207,9,-0.038458258,7.890022277832031,1123.707,0.026132721,0.02569037146864253
182,1364,2,15,Utility,74922.0,0.024054984,49,2037,3,0.101499505,6.19836950302124,33931.188,0.45288685,0.025631546455784256
183,1394,2,15,Entertainment/public assembly,16351.0,0.018163966,37,2037,3,0.11063056,7.46107816696167,9953.077,0.6087137,0.025586991984929197
184,574,0,4,Education,56343.0,0.036668174,81,2209,13,-0.10019676,6.97092866897583,846.241,0.015019453,0.02544468493466891
185,103,1,0,Education,21657.0,0.017461067,37,2119,5,-0.1427786,13.240775108337402,13010.524,0.6007538,0.025397603528154067
186,669,0,5,Entertainment/public assembly,4768.0,0.028558478,63,2206,20,-0.05836738,7.178233623504639,769.255,0.16133703,0.025337798992919915
187,721,0,5,Education,121471.0,0.03671804,81,2206,12,-0.054494504,12.54340648651123,2137.4146,0.017596088,0.025323018733773427
188,1343,2,15,Office,110380.0,0.02945508,60,2037,3,0.07579517,8.272782325744629,31819.285,0.28827038,0.025177512732651598
189,262,0,2,Entertainment/public assembly,20804.0,0.034873188,77,2208,13,-0.08423016,8.768115043640137,1036.3363,0.04981428,0.02514407481840812
190,216,0,2,Education,137065.0,0.034873188,77,2208,15,-0.036789227,10.366455078125,2776.32,0.0202555,0.024900644939462504
191,162,0,2,Education,98829.0,0.03713768,82,2208,8,-0.21329346,15.403517723083496,2257.545,0.02284294,0.024838698110169477
192,40,0,0,Entertainment/public assembly,26944.0,0.0348574,77,2209,7,-0.102332175,24.493385314941406,2440.852,0.09058982,0.024775461082545736
193,254,3,2,Entertainment/public assembly,254766.0,0.03758472,61,1623,5,0.20675597,8.954071044921875,4451.166,0.017471585,0.02473221897588693
194,249,3,2,Entertainment/public assembly,179449.0,0.037607614,83,2207,4,0.01679232,16.82428741455078,6171.882,0.034393515,0.024530973067456174
195,1437,2,15,Education,111518.0,0.026509574,54,2037,4,0.10687661,8.261933326721191,35368.48,0.3171549,0.024273131224634377
196,1336,2,15,Office,31053.0,0.025360517,51,2011,2,0.16833559,9.680039405822754,11424.378,0.36789933,0.02426863375275795
197,214,0,2,Education,91273.0,0.032608695,72,2208,16,-0.06985078,7.417725563049316,3135.2056,0.03434976,0.024056697387276376
198,1337,1,15,Office,14744.0,0.03311258,70,2114,12,0.0573284,11.982528686523438,734.39014,0.049809422,0.023972368809726533
199,736,0,5,Education,94658.0,0.035358116,78,2206,8,-0.04688924,7.820765018463135,2326.0093,0.024572771,0.023796320666942886
200,125,0,1,Education,16802.0,0.024025386,53,2206,18,-0.008694047,13.108039855957031,3518.5552,0.20941287,0.02324231179656757
201,252,0,2,Education,4314.0,0.025419882,56,2203,6,-0.33642313,5.7793684005737305,1205.2487,0.27938077,0.023110686806475197
202,225,0,2,Lodging/residential,216526.0,0.03442029,76,2208,8,-0.062115207,5.658432960510254,2689.4663,0.012420986,0.022947733295487983
203,1390,1,15,Entertainment/public assembly,93608.0,0.03148936,37,1175,9,-0.070082985,10.802030563354492,265.003,0.0028309866,0.022854430072114483
204,482,0,3,Education,394000.0,0.034435887,76,2207,5,-0.024263106,10.744301795959473,13061.942,0.033152137,0.02278635151235661
205,678,0,5,Public services,60977.0,0.033091567,73,2206,9,0.20067611,8.038309097290039,1779.408,0.029181626,0.02273574780683809
206,263,0,2,Education,87673.0,0.0317029,70,2208,13,-0.024379209,6.857726573944092,2167.0718,0.024717664,0.02264391899248532
207,247,3,2,Education,64560.0,0.024003623,53,2208,32,-0.055891752,8.947482109069824,2938.8452,0.045521148,0.02249924850974232
208,702,0,5,Education,24251.0,0.030371714,67,2206,9,0.008375325,6.452104568481445,2086.7878,0.08604956,0.022372539510126226
209,1392,2,15,Entertainment/public assembly,76153.0,0.0054000984,11,2037,2,0.033551272,5.484464168548584,60675.527,0.7967582,0.02185888527794547
